ticker,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2
MH3,94.0,84.0,100.0,77.0,94.0,91.0,100.0,89.0,93.0,91.0,100.0,78.0,91.0
MHC,95.0,92.0,55.0,55.0,92.0,63.0,84.0,53.0,81.0,79.0,82.0,98.0,94.0
MHY,,,,,,,,,,,,,69.0
MIE,43.0,43.0,52.0,43.0,45.0,53.0,53.0,45.0,51.0,51.0,40.0,34.0,40.0
MLC,,,,,71.0,,,,,,,,
MST,77.0,81.0,62.0,61.0,59.0,62.0,73.0,50.0,40.0,42.0,44.0,30.0,45.0
MTS,73.0,59.0,69.0,67.0,81.0,79.0,76.0,,,,53.0,61.0,
MVN,40.0,36.0,56.0,42.0,37.0,53.0,69.0,59.0,64.0,60.0,,,77.0
NAP,89.0,89.0,89.0,72.0,89.0,87.0,88.0,89.0,90.0,85.0,85.0,91.0,88.0
NCP,35.0,36.0,30.0,43.0,38.0,31.0,49.0,47.0,42.0,37.0,26.0,30.0,36.0
NCS,67.0,45.0,63.0,68.0,64.0,66.0,59.0,57.0,24.0,27.0,19.0,21.0,16.0
NCT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ND2,54.0,85.0,72.0,35.0,46.0,81.0,59.0,27.0,64.0,74.0,66.0,49.0,53.0
NHH,,,,69.0,49.0,51.0,54.0,39.0,46.0,58.0,66.0,45.0,42.0
NNG,47.0,54.0,42.0,47.0,51.0,61.0,22.0,51.0,45.0,50.0,41.0,39.0,47.0
NOS,31.0,35.0,49.0,38.0,38.0,43.0,38.0,,36.0,35.0,41.0,,28.0
NTB,16.0,14.0,,18.0,24.0,18.0,13.0,,,,,,
NVT,59.0,81.0,52.0,95.0,81.0,100.0,45.0,72.0,67.0,67.0,,45.0,19.0
PBT,88.0,100.0,70.0,71.0,83.0,91.0,87.0,100.0,100.0,87.0,86.0,83.0,97.0
PC1,75.0,69.0,63.0,56.0,57.0,58.0,55.0,59.0,63.0,64.0,54.0,51.0,44.0
PCG,65.0,65.0,74.0,54.0,45.0,64.0,56.0,55.0,70.0,61.0,59.0,54.0,57.0
PCT,60.0,86.0,100.0,93.0,96.0,89.0,98.0,88.0,88.0,76.0,98.0,80.0,92.0
PDN,81.0,85.0,76.0,88.0,81.0,94.0,86.0,87.0,87.0,93.0,86.0,85.0,91.0
PEN,17.0,28.0,61.0,42.0,31.0,18.0,35.0,16.0,27.0,57.0,42.0,15.0,32.0
PGN,,47.0,48.0,38.0,39.0,62.0,59.0,66.0,56.0,57.0,50.0,42.0,57.0
PHC,41.0,38.0,55.0,42.0,47.0,52.0,63.0,42.0,43.0,34.0,32.0,32.0,40.0
PHH,6.0,0.0,7.0,2.0,37.0,44.0,59.0,47.0,43.0,57.0,49.0,27.0,39.0
PHP,100.0,100.0,90.0,93.0,100.0,98.0,100.0,97.0,100.0,100.0,97.0,100.0,100.0
PHR,84.0,96.0,93.0,83.0,76.0,100.0,53.0,88.0,99.0,91.0,100.0,77.0,76.0
PIC,77.0,47.0,56.0,73.0,58.0,46.0,85.0,78.0,59.0,50.0,90.0,100.0,79.0
PJT,81.0,76.0,72.0,79.0,76.0,59.0,54.0,59.0,60.0,60.0,43.0,50.0,44.0
PMS,56.0,48.0,53.0,59.0,66.0,75.0,75.0,85.0,82.0,77.0,76.0,90.0,95.0
PNC,45.0,96.0,63.0,56.0,69.0,68.0,69.0,32.0,56.0,66.0,57.0,36.0,40.0
PNP,73.0,78.0,61.0,83.0,76.0,77.0,76.0,64.0,80.0,71.0,66.0,,68.0
PPE,53.0,35.0,100.0,49.0,44.0,70.0,54.0,50.0,85.0,42.0,52.0,,97.0
PPI,25.0,17.0,22.0,13.0,,6.0,0.0,8.0,38.0,,23.0,12.0,20.0
PPS,29.0,27.0,55.0,32.0,37.0,53.0,46.0,56.0,51.0,57.0,71.0,45.0,57.0
PQN,,,,43.0,48.0,57.0,41.0,65.0,69.0,58.0,55.0,43.0,39.0
PRC,28.0,37.0,33.0,41.0,37.0,38.0,26.0,38.0,47.0,37.0,31.0,36.0,37.0
PSN,71.0,78.0,79.0,62.0,74.0,64.0,66.0,70.0,73.0,70.0,68.0,,70.0
PSP,43.0,43.0,70.0,55.0,62.0,62.0,70.0,66.0,73.0,72.0,66.0,57.0,68.0
PTC,30.0,41.0,29.0,46.0,57.0,93.0,62.0,77.0,90.0,86.0,,100.0,
PTD,12.0,48.0,72.0,73.0,57.0,65.0,45.0,42.0,59.0,61.0,45.0,13.0,51.0
PTS,44.0,39.0,56.0,45.0,37.0,50.0,41.0,49.0,47.0,50.0,37.0,44.0,43.0
PVA,,,,49.0,26.0,24.0,14.0,28.0,29.0,,,25.0,56.0
PVE,39.0,32.0,30.0,55.0,30.0,,,,,,,,
PVH,17.0,4.0,40.0,12.0,8.0,9.0,0.0,36.0,13.0,0.0,0.0,2.0,0.0
PVM,72.0,61.0,67.0,76.0,86.0,83.0,71.0,65.0,68.0,68.0,64.0,55.0,72.0
PVP,59.0,51.0,80.0,69.0,75.0,68.0,80.0,67.0,73.0,88.0,89.0,75.0,81.0
PVT,82.0,76.0,80.0,78.0,82.0,77.0,82.0,71.0,83.0,80.0,88.0,77.0,78.0
PVV,5.0,13.0,4.0,8.0,4.0,0.0,0.0,3.0,6.0,0.0,1.0,31.0,33.0
PVX,31.0,34.0,35.0,33.0,28.0,21.0,7.0,23.0,31.0,24.0,,24.0,26.0
PVY,28.0,26.0,31.0,28.0,31.0,22.0,10.0,24.0,30.0,22.0,25.0,14.0,28.0
PXI,13.0,30.0,60.0,44.0,47.0,42.0,42.0,34.0,41.0,35.0,,35.0,29.0
PXM,14.0,18.0,24.0,14.0,21.0,13.0,13.0,,,,26.0,,19.0
PXT,33.0,31.0,32.0,20.0,14.0,24.0,46.0,18.0,14.0,20.0,17.0,21.0,13.0
QHD,50.0,50.0,58.0,60.0,56.0,74.0,93.0,91.0,100.0,99.0,100.0,81.0,78.0
QTC,46.0,43.0,77.0,62.0,92.0,60.0,86.0,59.0,84.0,69.0,58.0,34.0,47.0
RCC,18.0,34.0,21.0,9.0,18.0,56.0,,,,,,,38.0
RGC,47.0,44.0,58.0,54.0,48.0,44.0,45.0,53.0,33.0,23.0,23.0,37.0,41.0
ROS,46.0,40.0,58.0,49.0,49.0,56.0,60.0,53.0,31.0,54.0,69.0,48.0,45.0
RTB,84.0,53.0,77.0,62.0,99.0,71.0,75.0,53.0,86.0,85.0,95.0,85.0,96.0
S12,,,,,,,0.0,,,,,,
S55,44.0,50.0,56.0,47.0,45.0,42.0,25.0,46.0,39.0,52.0,,25.0,44.0
S74,42.0,33.0,52.0,54.0,31.0,55.0,67.0,54.0,57.0,53.0,44.0,37.0,
S99,35.0,39.0,43.0,49.0,54.0,52.0,19.0,59.0,65.0,51.0,49.0,47.0,40.0
SAC,100.0,100.0,,,,,,,91.0,,,,
SAM,47.0,45.0,59.0,48.0,46.0,63.0,63.0,59.0,55.0,57.0,48.0,46.0,40.0
SAP,69.0,62.0,,,,,60.0,,52.0,,44.0,,
SAS,100.0,94.0,92.0,97.0,100.0,90.0,91.0,71.0,80.0,80.0,85.0,72.0,54.0
SBR,49.0,,,62.0,75.0,67.0,70.0,48.0,50.0,,92.0,52.0,82.0
SC5,48.0,70.0,41.0,64.0,41.0,40.0,54.0,50.0,53.0,45.0,49.0,39.0,42.0
SCI,38.0,42.0,55.0,54.0,83.0,39.0,20.0,51.0,61.0,54.0,63.0,57.0,51.0
SCS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SCY,57.0,39.0,82.0,52.0,65.0,67.0,69.0,72.0,74.0,64.0,68.0,79.0,43.0
SD2,25.0,25.0,34.0,27.0,33.0,24.0,21.0,41.0,29.0,21.0,22.0,26.0,49.0
SD3,,,,,,0.0,,,,,35.0,,0.0
SD4,30.0,33.0,32.0,33.0,32.0,32.0,12.0,39.0,35.0,,29.0,,22.0
SD5,40.0,39.0,47.0,37.0,35.0,48.0,42.0,53.0,61.0,57.0,37.0,53.0,43.0
SD6,29.0,26.0,26.0,30.0,34.0,26.0,17.0,27.0,37.0,24.0,27.0,28.0,30.0
SD7,38.0,31.0,66.0,,,,,,,,,,
SD9,40.0,32.0,41.0,41.0,29.0,12.0,12.0,37.0,34.0,32.0,25.0,33.0,32.0
SDA,33.0,61.0,28.0,28.0,24.0,14.0,16.0,66.0,29.0,28.0,27.0,39.0,65.0
SDC,46.0,46.0,52.0,37.0,39.0,41.0,35.0,43.0,38.0,53.0,39.0,40.0,46.0
SDD,21.0,10.0,22.0,19.0,12.0,8.0,68.0,12.0,54.0,,41.0,17.0,24.0
SDJ,20.0,,,,,,,,,,,,
SDP,21.0,24.0,47.0,27.0,19.0,4.0,2.0,11.0,10.0,7.0,14.0,,21.0
SDT,30.0,34.0,26.0,30.0,30.0,16.0,18.0,20.0,34.0,29.0,28.0,26.0,28.0
SDU,30.0,32.0,48.0,30.0,38.0,24.0,23.0,24.0,37.0,39.0,33.0,32.0,37.0
SDV,,,,,,39.0,,,41.0,,,,
SFI,83.0,85.0,73.0,85.0,97.0,91.0,84.0,91.0,100.0,100.0,99.0,100.0,100.0
SGD,66.0,79.0,61.0,47.0,71.0,73.0,51.0,50.0,53.0,70.0,44.0,,40.0
SGN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.0,88.0,95.0,100.0,96.0
SGP,62.0,56.0,72.0,68.0,83.0,68.0,69.0,75.0,90.0,78.0,90.0,96.0,100.0
SGS,100.0,98.0,93.0,95.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0
SHA,41.0,40.0,50.0,42.0,41.0,51.0,48.0,46.0,46.0,48.0,41.0,37.0,36.0
SHG,28.0,20.0,,27.0,26.0,22.0,5.0,25.0,25.0,15.0,,,
SIC,81.0,49.0,67.0,29.0,100.0,65.0,75.0,62.0,86.0,69.0,85.0,39.0,44.0
SII,62.0,49.0,47.0,49.0,63.0,57.0,44.0,38.0,40.0,39.0,31.0,41.0,37.0
SJC,10.0,6.0,9.0,20.0,21.0,16.0,0.0,23.0,9.0,10.0,13.0,20.0,26.0
SJE,25.0,31.0,44.0,27.0,37.0,24.0,58.0,42.0,47.0,45.0,35.0,46.0,39.0
SJG,,,50.0,37.0,44.0,59.0,47.0,50.0,50.0,58.0,43.0,42.0,44.0
SKG,100.0,100.0,84.0,100.0,100.0,100.0,91.0,89.0,89.0,98.0,81.0,91.0,79.0
SMA,38.0,84.0,45.0,32.0,44.0,60.0,56.0,29.0,21.0,61.0,31.0,26.0,34.0
SMT,53.0,62.0,50.0,31.0,23.0,41.0,48.0,36.0,48.0,66.0,73.0,33.0,27.0
SON,44.0,44.0,60.0,49.0,,,,,,,,,
SRF,49.0,36.0,67.0,37.0,41.0,57.0,53.0,34.0,36.0,33.0,47.0,27.0,29.0
SRT,52.0,55.0,50.0,55.0,52.0,60.0,50.0,47.0,44.0,41.0,31.0,37.0,29.0
STC,84.0,90.0,77.0,56.0,84.0,90.0,82.0,61.0,73.0,89.0,92.0,62.0,75.0
STG,76.0,83.0,77.0,77.0,92.0,83.0,83.0,72.0,71.0,90.0,81.0,83.0,89.0
STS,88.0,,,,,,,,,,,,
STW,36.0,28.0,39.0,35.0,38.0,59.0,49.0,65.0,61.0,73.0,47.0,,76.0
SVG,36.0,39.0,44.0,38.0,38.0,46.0,38.0,44.0,44.0,41.0,40.0,45.0,45.0
SVN,54.0,50.0,77.0,56.0,51.0,64.0,88.0,58.0,71.0,73.0,87.0,87.0,50.0
SWC,100.0,97.0,96.0,91.0,100.0,95.0,81.0,96.0,82.0,100.0,100.0,99.0,100.0
SZB,83.0,97.0,74.0,85.0,98.0,93.0,87.0,89.0,91.0,85.0,93.0,90.0,93.0
SZE,62.0,70.0,72.0,74.0,65.0,73.0,78.0,67.0,79.0,71.0,63.0,43.0,43.0
TA9,34.0,32.0,67.0,31.0,35.0,28.0,71.0,23.0,58.0,57.0,72.0,27.0,42.0
TBD,40.0,38.0,74.0,52.0,46.0,55.0,84.0,56.0,67.0,61.0,84.0,41.0,48.0
TCD,44.0,40.0,71.0,40.0,43.0,47.0,54.0,42.0,46.0,60.0,53.0,50.0,62.0
TCH,100.0,87.0,80.0,88.0,86.0,89.0,92.0,84.0,82.0,100.0,91.0,100.0,95.0
TCK,17.0,,,16.0,18.0,0.0,13.0,18.0,42.0,,,,
TCL,90.0,88.0,80.0,80.0,83.0,86.0,89.0,85.0,88.0,82.0,88.0,78.0,88.0
TCO,88.0,93.0,90.0,83.0,93.0,93.0,96.0,92.0,85.0,81.0,90.0,84.0,100.0
TCW,71.0,80.0,75.0,77.0,83.0,83.0,75.0,86.0,81.0,87.0,70.0,85.0,74.0
THI,71.0,80.0,89.0,43.0,50.0,56.0,57.0,43.0,59.0,58.0,55.0,38.0,46.0
THS,99.0,75.0,66.0,66.0,81.0,70.0,79.0,69.0,85.0,73.0,65.0,59.0,81.0
TID,68.0,56.0,75.0,61.0,46.0,60.0,58.0,47.0,60.0,49.0,49.0,50.0,51.0
TIG,67.0,72.0,76.0,76.0,70.0,71.0,85.0,67.0,60.0,60.0,65.0,64.0,57.0
TJC,71.0,66.0,71.0,51.0,56.0,54.0,76.0,75.0,81.0,77.0,94.0,88.0,88.0
TKC,39.0,41.0,45.0,31.0,36.0,22.0,12.0,9.0,21.0,17.0,35.0,29.0,21.0
TKU,58.0,52.0,57.0,54.0,52.0,54.0,63.0,67.0,55.0,53.0,61.0,72.0,68.0
TL4,34.0,35.0,41.0,32.0,33.0,24.0,31.0,42.0,37.0,40.0,29.0,30.0,29.0
TMS,77.0,84.0,73.0,77.0,84.0,82.0,81.0,82.0,87.0,87.0,87.0,93.0,92.0
TMT,19.0,35.0,29.0,35.0,34.0,21.0,21.0,50.0,47.0,58.0,51.0,55.0,49.0
TPH,87.0,74.0,70.0,38.0,79.0,59.0,50.0,50.0,54.0,57.0,52.0,39.0,49.0
TRC,79.0,69.0,86.0,62.0,83.0,68.0,78.0,80.0,79.0,66.0,81.0,73.0,46.0
TTT,100.0,98.0,77.0,100.0,100.0,89.0,69.0,100.0,83.0,73.0,78.0,100.0,76.0
TTZ,49.0,100.0,37.0,50.0,57.0,51.0,33.0,34.0,,38.0,54.0,46.0,70.0
TV1,29.0,32.0,27.0,14.0,26.0,22.0,54.0,13.0,19.0,28.0,44.0,29.0,28.0
TV2,80.0,76.0,79.0,80.0,94.0,75.0,75.0,89.0,75.0,72.0,81.0,47.0,71.0
TV3,43.0,78.0,78.0,46.0,44.0,75.0,79.0,52.0,71.0,70.0,60.0,47.0,35.0
TV4,52.0,89.0,84.0,55.0,59.0,77.0,73.0,64.0,82.0,75.0,87.0,71.0,78.0
TVC,75.0,67.0,64.0,55.0,60.0,54.0,61.0,62.0,78.0,66.0,63.0,77.0,100.0
TVH,49.0,,,,,,,,,,,,
TYA,66.0,72.0,73.0,71.0,75.0,71.0,66.0,73.0,63.0,63.0,67.0,64.0,64.0
V12,38.0,42.0,50.0,34.0,31.0,23.0,46.0,21.0,34.0,32.0,47.0,42.0,39.0
V21,24.0,14.0,23.0,6.0,53.0,15.0,17.0,19.0,37.0,14.0,36.0,19.0,32.0
VAT,35.0,34.0,58.0,18.0,,,,,,,,,
VBH,100.0,,,,,,,,,,,,
VC1,47.0,31.0,50.0,41.0,42.0,32.0,50.0,41.0,45.0,42.0,39.0,36.0,39.0
VC2,41.0,30.0,25.0,21.0,31.0,40.0,32.0,42.0,45.0,30.0,38.0,29.0,40.0
VC6,31.0,33.0,49.0,39.0,39.0,54.0,24.0,51.0,45.0,39.0,42.0,32.0,37.0
VC7,48.0,45.0,60.0,43.0,47.0,57.0,60.0,50.0,46.0,39.0,42.0,33.0,39.0
VC9,35.0,30.0,25.0,42.0,35.0,26.0,24.0,35.0,42.0,26.0,22.0,23.0,15.0
VCC,38.0,38.0,60.0,36.0,40.0,52.0,52.0,31.0,52.0,32.0,37.0,30.0,37.0
VCM,74.0,42.0,74.0,65.0,68.0,59.0,71.0,48.0,74.0,65.0,92.0,64.0,66.0
VE1,56.0,85.0,72.0,65.0,75.0,78.0,100.0,83.0,63.0,72.0,55.0,51.0,100.0
VE2,36.0,53.0,65.0,65.0,63.0,55.0,79.0,65.0,68.0,50.0,46.0,69.0,45.0
VE3,44.0,34.0,48.0,28.0,44.0,55.0,63.0,21.0,58.0,37.0,31.0,,45.0
VE4,70.0,44.0,58.0,43.0,57.0,57.0,75.0,61.0,63.0,41.0,49.0,17.0,48.0
VE8,30.0,12.0,51.0,18.0,32.0,44.0,53.0,23.0,37.0,58.0,71.0,27.0,38.0
VE9,56.0,50.0,92.0,41.0,45.0,60.0,36.0,40.0,61.0,60.0,44.0,45.0,
VEA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VEF,99.0,94.0,99.0,89.0,91.0,90.0,100.0,94.0,73.0,74.0,82.0,71.0,62.0
VFC,49.0,47.0,55.0,51.0,51.0,60.0,59.0,60.0,63.0,62.0,48.0,52.0,57.0
VFR,41.0,34.0,36.0,64.0,36.0,39.0,32.0,41.0,44.0,42.0,49.0,35.0,49.0
VGP,51.0,71.0,67.0,66.0,67.0,69.0,68.0,72.0,69.0,73.0,70.0,62.0,75.0
VGR,88.0,83.0,87.0,81.0,81.0,88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VGS,73.0,80.0,74.0,66.0,80.0,79.0,75.0,74.0,78.0,72.0,87.0,75.0,77.0
VGV,44.0,41.0,55.0,51.0,43.0,56.0,50.0,46.0,54.0,50.0,45.0,40.0,38.0
VHG,34.0,32.0,40.0,29.0,45.0,20.0,55.0,58.0,54.0,52.0,42.0,34.0,52.0
VIE,42.0,46.0,61.0,39.0,28.0,97.0,66.0,38.0,51.0,52.0,56.0,29.0,38.0
VIN,100.0,100.0,83.0,100.0,63.0,95.0,83.0,95.0,94.0,,99.0,92.0,100.0
VIP,85.0,77.0,78.0,55.0,58.0,84.0,94.0,70.0,100.0,82.0,45.0,50.0,81.0
VIW,34.0,35.0,40.0,40.0,27.0,40.0,21.0,30.0,20.0,29.0,33.0,25.0,22.0
VJC,79.0,99.0,97.0,93.0,79.0,93.0,72.0,56.0,77.0,49.0,72.0,52.0,48.0
VLG,88.0,85.0,87.0,82.0,75.0,65.0,58.0,47.0,51.0,56.0,62.0,49.0,60.0
VMC,47.0,65.0,52.0,37.0,35.0,39.0,42.0,33.0,46.0,31.0,32.0,33.0,32.0
VMI,28.0,,,,,,,,,,,,
VMS,76.0,66.0,75.0,66.0,75.0,73.0,71.0,76.0,83.0,79.0,64.0,67.0,62.0
VNA,50.0,46.0,49.0,63.0,31.0,40.0,29.0,30.0,49.0,24.0,26.0,,67.0
VNC,85.0,77.0,81.0,81.0,85.0,85.0,73.0,80.0,94.0,85.0,85.0,83.0,89.0
VNE,77.0,36.0,39.0,36.0,45.0,54.0,66.0,38.0,53.0,48.0,57.0,30.0,32.0
VNF,92.0,89.0,82.0,78.0,86.0,81.0,79.0,77.0,91.0,88.0,92.0,90.0,91.0
VNL,97.0,97.0,92.0,95.0,100.0,100.0,100.0,92.0,100.0,98.0,92.0,97.0,100.0
VNP,36.0,42.0,20.0,30.0,27.0,56.0,0.0,53.0,57.0,61.0,38.0,75.0,89.0
VNT,46.0,49.0,65.0,61.0,54.0,60.0,57.0,63.0,68.0,63.0,53.0,59.0,72.0
VOS,25.0,22.0,55.0,28.0,27.0,12.0,66.0,26.0,25.0,23.0,,26.0,75.0
VPA,25.0,30.0,30.0,29.0,31.0,28.0,16.0,41.0,70.0,38.0,33.0,29.0,26.0
VPG,54.0,62.0,59.0,55.0,47.0,54.0,49.0,53.0,47.0,62.0,85.0,97.0,100.0
VRG,92.0,58.0,67.0,53.0,87.0,92.0,100.0,85.0,83.0,85.0,75.0,84.0,78.0
VSA,93.0,67.0,79.0,70.0,80.0,68.0,78.0,77.0,92.0,75.0,90.0,92.0,87.0
VSC,100.0,100.0,100.0,91.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VSE,80.0,,,,,,,,,,,,
VSI,39.0,39.0,39.0,39.0,32.0,32.0,38.0,42.0,40.0,38.0,32.0,33.0,42.0
VSM,78.0,78.0,79.0,77.0,76.0,82.0,72.0,74.0,80.0,72.0,83.0,81.0,93.0
VTE,39.0,,66.0,55.0,65.0,60.0,58.0,53.0,61.0,59.0,61.0,45.0,46.0
VTH,67.0,54.0,61.0,65.0,90.0,39.0,40.0,52.0,58.0,25.0,45.0,37.0,69.0
VTO,68.0,81.0,80.0,76.0,78.0,76.0,79.0,70.0,77.0,76.0,81.0,71.0,74.0
VTP,95.0,90.0,92.0,87.0,90.0,90.0,100.0,92.0,100.0,97.0,89.0,96.0,93.0
VTX,43.0,76.0,71.0,61.0,62.0,69.0,67.0,44.0,47.0,67.0,83.0,51.0,38.0
VVN,47.0,,,,,51.0,,,,,47.0,,41.0
WCS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,100.0
WTC,40.0,,,,,,91.0,,,,,,
XMC,36.0,30.0,56.0,20.0,31.0,23.0,55.0,12.0,21.0,52.0,36.0,,25.0
AAA,61.0,63.0,57.0,76.0,65.0,63.0,57.0,63.0,59.0,62.0,58.0,57.0,61.0
ABS,,,,65.0,69.0,61.0,72.0,64.0,62.0,65.0,68.0,56.0,59.0
ACM,56.0,62.0,31.0,27.0,28.0,15.0,61.0,23.0,18.0,24.0,15.0,,16.0
ADP,73.0,87.0,71.0,94.0,89.0,96.0,78.0,100.0,94.0,100.0,99.0,96.0,80.0
ALT,71.0,83.0,75.0,69.0,77.0,83.0,79.0,69.0,63.0,78.0,58.0,57.0,58.0
ALV,16.0,,,49.0,,,,,,,,,
AMC,58.0,63.0,68.0,61.0,58.0,66.0,67.0,64.0,59.0,77.0,63.0,,58.0
AMD,68.0,83.0,64.0,67.0,72.0,70.0,62.0,61.0,62.0,62.0,59.0,61.0,59.0
APH,,,,,,,,59.0,56.0,58.0,54.0,52.0,55.0
APP,51.0,55.0,61.0,48.0,51.0,47.0,58.0,62.0,52.0,52.0,52.0,56.0,53.0
ASA,55.0,,,,,,,,,,,,
ATG,56.0,56.0,55.0,51.0,48.0,50.0,72.0,47.0,28.0,38.0,22.0,29.0,83.0
BAL,65.0,,,,,,,,,,,,
BBS,14.0,16.0,11.0,35.0,26.0,24.0,12.0,40.0,32.0,34.0,8.0,22.0,18.0
BCB,15.0,,,,,,,,,,,,
BCC,56.0,57.0,65.0,60.0,63.0,57.0,67.0,63.0,61.0,62.0,69.0,61.0,61.0
BDT,69.0,71.0,70.0,67.0,80.0,70.0,66.0,70.0,66.0,63.0,,,52.0
BFC,65.0,64.0,59.0,51.0,59.0,62.0,61.0,54.0,65.0,63.0,59.0,66.0,65.0
BKC,23.0,51.0,0.0,14.0,9.0,74.0,53.0,23.0,7.0,9.0,0.0,0.0,3.0
BKG,,,,,,,,,,,,,69.0
BMC,78.0,90.0,91.0,100.0,96.0,85.0,88.0,86.0,74.0,77.0,72.0,74.0,88.0
BMF,94.0,100.0,100.0,,,,,,,,,,
BMP,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.0,81.0
BPC,56.0,53.0,58.0,58.0,52.0,56.0,58.0,65.0,58.0,62.0,54.0,56.0,55.0
BT6,0.0,5.0,,,39.0,,,,,,,,
BTD,50.0,,,60.0,,,,,,,,,
BTG,,93.0,82.0,71.0,,,,,,,,,
BTS,54.0,51.0,59.0,56.0,55.0,56.0,62.0,56.0,56.0,55.0,56.0,51.0,50.0
BXH,53.0,66.0,62.0,73.0,53.0,59.0,60.0,63.0,56.0,62.0,58.0,57.0,52.0
C32,82.0,89.0,65.0,60.0,80.0,66.0,67.0,74.0,73.0,61.0,64.0,53.0,54.0
C69,12.0,46.0,23.0,33.0,47.0,23.0,53.0,54.0,26.0,52.0,62.0,60.0,
CAP,100.0,100.0,75.0,81.0,72.0,100.0,89.0,91.0,100.0,100.0,92.0,80.0,74.0
CBI,51.0,51.0,51.0,38.0,38.0,33.0,24.0,53.0,47.0,50.0,56.0,63.0,67.0
CCM,64.0,67.0,61.0,,,,,,,,,,
CET,48.0,57.0,77.0,57.0,53.0,55.0,45.0,52.0,56.0,43.0,64.0,73.0,65.0
CKD,64.0,84.0,53.0,53.0,37.0,62.0,65.0,59.0,50.0,90.0,,52.0,28.0
CLC,92.0,100.0,83.0,74.0,65.0,93.0,85.0,82.0,94.0,100.0,93.0,84.0,80.0
CLH,59.0,55.0,81.0,66.0,68.0,68.0,93.0,70.0,74.0,81.0,85.0,67.0,80.0
CLM,57.0,61.0,64.0,79.0,85.0,76.0,72.0,74.0,73.0,83.0,52.0,59.0,55.0
CMD,68.0,82.0,,91.0,71.0,73.0,71.0,90.0,69.0,76.0,90.0,81.0,
CMI,14.0,2.0,,10.0,20.0,9.0,6.0,4.0,17.0,7.0,0.0,0.0,0.0
CPC,76.0,71.0,59.0,86.0,71.0,62.0,75.0,73.0,77.0,67.0,70.0,64.0,68.0
CQT,21.0,18.0,51.0,40.0,52.0,50.0,55.0,52.0,42.0,46.0,58.0,34.0,47.0
CRC,43.0,61.0,23.0,58.0,46.0,48.0,59.0,55.0,26.0,59.0,61.0,53.0,21.0
CST,,,,,,,,,,,,,50.0
CSV,100.0,100.0,100.0,100.0,93.0,91.0,93.0,100.0,96.0,96.0,72.0,80.0,80.0
CVT,67.0,89.0,85.0,88.0,64.0,99.0,99.0,64.0,79.0,93.0,71.0,60.0,54.0
DAC,,,,,,,,,,,,,43.0
DAG,51.0,55.0,32.0,56.0,53.0,56.0,21.0,24.0,52.0,31.0,16.0,24.0,20.0
DC2,55.0,50.0,0.0,38.0,32.0,59.0,64.0,29.0,18.0,69.0,26.0,72.0,30.0
DCM,75.0,77.0,71.0,85.0,75.0,65.0,76.0,75.0,90.0,85.0,90.0,93.0,100.0
DCS,71.0,79.0,74.0,74.0,67.0,66.0,74.0,78.0,68.0,77.0,72.0,72.0,69.0
DCT,50.0,74.0,58.0,52.0,52.0,52.0,27.0,56.0,,,,57.0,54.0
DDV,81.0,67.0,67.0,59.0,51.0,53.0,54.0,65.0,40.0,67.0,77.0,89.0,89.0
DGC,78.0,100.0,100.0,99.0,96.0,87.0,90.0,100.0,98.0,99.0,85.0,96.0,86.0
DHA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DHB,14.0,16.0,17.0,26.0,53.0,50.0,39.0,55.0,33.0,39.0,21.0,54.0,41.0
DHC,61.0,63.0,54.0,59.0,52.0,63.0,82.0,92.0,74.0,78.0,86.0,86.0,82.0
DHM,58.0,60.0,61.0,76.0,59.0,61.0,56.0,54.0,53.0,77.0,18.0,35.0,50.0
DID,9.0,19.0,51.0,51.0,48.0,43.0,48.0,32.0,47.0,41.0,35.0,17.0,21.0
DNP,39.0,50.0,50.0,48.0,45.0,52.0,39.0,58.0,53.0,42.0,26.0,46.0,39.0
DNY,52.0,59.0,5.0,0.0,0.0,0.0,3.0,12.0,19.0,,,,
DPD,,,,,,,,,,,,,53.0
DPM,82.0,97.0,86.0,91.0,88.0,88.0,95.0,89.0,95.0,92.0,80.0,81.0,100.0
DPR,82.0,92.0,91.0,100.0,85.0,89.0,91.0,86.0,75.0,100.0,75.0,84.0,79.0
DPS,53.0,33.0,23.0,,,,,,,,,,
DRG,,,,,44.0,59.0,63.0,53.0,47.0,56.0,63.0,60.0,60.0
DRI,64.0,61.0,70.0,70.0,53.0,61.0,73.0,53.0,50.0,62.0,64.0,65.0,70.0
