ticker,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2
PAC,57.0,56.0,48.0,47.0,55.0,48.0,61.0,58.0,55.0,59.0,57.0,48.0,54.0
PDC,40.0,56.0,30.0,48.0,45.0,40.0,56.0,23.0,30.0,50.0,61.0,31.0,18.0
PEG,59.0,,,46.0,60.0,53.0,54.0,54.0,46.0,31.0,45.0,41.0,67.0
PET,62.0,59.0,56.0,53.0,54.0,56.0,58.0,61.0,54.0,73.0,65.0,75.0,75.0
PGT,61.0,66.0,100.0,76.0,50.0,40.0,35.0,100.0,53.0,47.0,51.0,,93.0
PNJ,82.0,78.0,82.0,99.0,71.0,74.0,85.0,100.0,70.0,80.0,88.0,100.0,96.0
PPH,46.0,37.0,37.0,37.0,45.0,37.0,37.0,58.0,58.0,57.0,38.0,69.0,80.0
PTB,68.0,65.0,71.0,58.0,63.0,64.0,70.0,64.0,69.0,69.0,62.0,66.0,72.0
PTV,61.0,55.0,43.0,44.0,42.0,54.0,70.0,64.0,51.0,55.0,58.0,,66.0
PVR,33.0,27.0,32.0,23.0,45.0,20.0,50.0,15.0,24.0,23.0,19.0,26.0,59.0
PXL,70.0,56.0,68.0,68.0,51.0,58.0,67.0,72.0,75.0,69.0,66.0,76.0,87.0
QBS,46.0,38.0,45.0,36.0,37.0,24.0,42.0,45.0,34.0,21.0,31.0,38.0,53.0
REE,85.0,80.0,87.0,80.0,74.0,87.0,79.0,78.0,79.0,77.0,75.0,84.0,90.0
RIC,58.0,50.0,89.0,38.0,51.0,52.0,55.0,52.0,41.0,52.0,52.0,39.0,48.0
SAV,50.0,44.0,46.0,44.0,54.0,48.0,63.0,64.0,68.0,71.0,64.0,74.0,70.0
SBV,73.0,57.0,50.0,45.0,37.0,44.0,80.0,48.0,49.0,46.0,64.0,35.0,31.0
SCG,,,,,,,,,,,,,66.0
SDH,3.0,,,,,,,,,,,,
SFN,94.0,85.0,95.0,90.0,83.0,82.0,100.0,96.0,100.0,98.0,100.0,100.0,100.0
SGH,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,75.0,90.0,90.0,80.0,94.0
SHI,41.0,32.0,43.0,29.0,36.0,41.0,40.0,38.0,47.0,50.0,45.0,41.0,45.0
SHN,56.0,50.0,40.0,41.0,49.0,44.0,57.0,42.0,71.0,53.0,33.0,38.0,44.0
SMC,72.0,67.0,61.0,61.0,61.0,64.0,69.0,71.0,71.0,72.0,75.0,81.0,100.0
SRC,34.0,32.0,34.0,33.0,47.0,39.0,60.0,49.0,59.0,54.0,53.0,33.0,24.0
ST8,100.0,87.0,87.0,93.0,67.0,91.0,74.0,90.0,88.0,74.0,73.0,82.0,88.0
STH,,,,,,,,,,63.0,52.0,49.0,50.0
STK,61.0,46.0,55.0,52.0,56.0,60.0,75.0,84.0,51.0,57.0,82.0,96.0,100.0
SVC,73.0,67.0,73.0,71.0,59.0,65.0,71.0,66.0,66.0,71.0,76.0,66.0,73.0
SVD,,,,,,,,,16.0,17.0,25.0,33.0,32.0
SVT,73.0,86.0,74.0,66.0,82.0,73.0,100.0,86.0,93.0,94.0,100.0,83.0,100.0
T12,68.0,67.0,67.0,53.0,64.0,56.0,,69.0,29.0,11.0,,,84.0
TAG,70.0,83.0,83.0,90.0,77.0,81.0,86.0,94.0,81.0,84.0,78.0,99.0,100.0
TB8,57.0,,,,,,,,,,,,54.0
TCM,59.0,62.0,52.0,50.0,57.0,61.0,65.0,63.0,73.0,76.0,66.0,66.0,68.0
TCT,100.0,100.0,70.0,100.0,93.0,93.0,73.0,100.0,71.0,72.0,82.0,100.0,87.0
TDF,,,,48.0,54.0,51.0,56.0,46.0,54.0,54.0,52.0,45.0,63.0
TDH,54.0,41.0,52.0,39.0,55.0,40.0,53.0,32.0,31.0,33.0,43.0,,77.0
TDT,42.0,68.0,41.0,44.0,40.0,58.0,38.0,31.0,19.0,54.0,18.0,30.0,14.0
TET,100.0,100.0,100.0,100.0,81.0,81.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
TH1,44.0,41.0,40.0,36.0,42.0,33.0,45.0,44.0,47.0,52.0,35.0,33.0,39.0
TIE,72.0,60.0,35.0,29.0,46.0,,,,,,,,
TLG,84.0,84.0,71.0,76.0,90.0,84.0,82.0,60.0,77.0,98.0,84.0,98.0,100.0
TMW,,,,,,45.0,,,,,,,
TNA,59.0,55.0,50.0,54.0,55.0,69.0,65.0,56.0,59.0,60.0,60.0,44.0,67.0
TNG,34.0,40.0,49.0,40.0,42.0,62.0,59.0,48.0,34.0,62.0,30.0,30.0,28.0
TOP,78.0,72.0,83.0,39.0,53.0,48.0,44.0,65.0,62.0,48.0,55.0,61.0,59.0
TSJ,100.0,91.0,88.0,89.0,92.0,96.0,97.0,100.0,100.0,96.0,100.0,100.0,100.0
TTC,68.0,64.0,61.0,48.0,61.0,46.0,71.0,65.0,75.0,68.0,62.0,81.0,90.0
TTF,7.0,12.0,35.0,27.0,2.0,26.0,37.0,26.0,44.0,33.0,17.0,37.0,34.0
TTH,72.0,79.0,82.0,62.0,69.0,69.0,66.0,50.0,47.0,55.0,47.0,36.0,68.0
TVT,60.0,55.0,46.0,49.0,45.0,38.0,39.0,63.0,43.0,55.0,53.0,50.0,64.0
UDC,23.0,32.0,35.0,25.0,22.0,23.0,38.0,31.0,10.0,19.0,26.0,25.0,4.0
