Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
VE1,920,2160,2680,2980,A,2980
SRC,8870,13250,14350,14950,D,8870
VE2,4620,7030,7800,8170,C,7030
SRF,8990,11950,12650,13050,C,11950
VE3,1210,3560,4460,4950,C,3560
SSC,9640,18400,20750,22050,B,20750
VE4,3310,11950,15700,17900,C,11950
ST8,5620,8630,9390,9790,A,9790
STG,12500,18500,20300,21250,A,21250
VE8,960,2790,3460,3860,C,2790
STK,28250,38050,41050,42550,A,42550
VGP,7170,13650,15500,16450,A,16450
SVC,19850,41100,48000,52100,B,48000
VGS,6480,14300,17350,19050,A,19050
SVD,2650,4760,5390,5760,C,4760
VHE,890,2780,3520,3950,B,3520
SVI,24650,38050,41700,43600,B,41700
VHL,8650,13750,15350,16250,B,15350
SVT,5610,9340,10400,11000,A,11000
VIE,3810,6210,6910,7300,C,6210
SZC,15900,29100,33550,36050,B,33550
VIF,8900,12550,13650,14200,A,14200
SZL,38100,47550,50300,51700,A,51700
VIT,7720,12750,14150,15050,C,12750
TAC,31900,45300,48700,50800,B,48700
VKC,2080,4170,5020,5500,C,4170
TBC,18900,23400,24450,25050,A,25050
VLA,7080,13700,15750,16900,A,16900
TCD,6980,12600,14200,15250,B,14200
VMC,10950,16600,18250,19100,C,16600
TCH,5880,11650,13450,14400,A,14400
VMS,5320,9210,10450,11050,B,10450
TCL,18350,26100,28050,29200,A,29200
VNC,11200,18800,20750,21850,A,21850
TCM,24500,38800,42550,44450,B,42550
VNF,2800,6820,8280,9090,A,9090
TCO,4900,8820,10300,11100,A,11100
VNT,3770,14300,18900,21550,B,18900
TCR,1800,3180,3700,3990,C,3180
VSA,9980,15800,17700,18550,A,18550
TCT,19350,25600,27300,28150,A,28150
VSM,10000,15600,17050,18000,A,18000
TDC,5690,11600,13450,14400,D,5690
VTC,4840,7830,8770,9250,C,7830
TDG,2250,4510,5300,5760,C,4510
VTH,2920,5730,6550,6980,B,6550
TDH,3050,5300,6160,6620,A,6620
VTJ,480,1580,2010,2260,B,2010
TDM,18700,24700,26150,27000,A,27000
VTL,3400,6230,6960,7370,Not enough data,3400
TDP,11250,16050,17300,18000,C,16050
VTV,3150,4930,5520,5840,C,4930
TDW,7670,14250,16650,18000,A,18000
VXB,2480,7250,9020,10050,C,7250
TEG,3430,5990,6960,7490,A,7490
WCS,89200,121900,130400,134700,A,134700
TGG,5270,9340,10550,11250,A,11250
X20,1370,3360,4090,4540,Not enough data,1370
THG,45700,60400,63900,66000,B,63900
PRE,10100,13250,14200,14700,B,14200
THI,16050,21150,22450,23100,C,21150
PTI,20100,32100,36150,38300,B,36150
TIP,14400,23350,26350,28000,A,28000
PVI,21200,29650,32400,33900,A,33900
TIX,14600,20800,22600,23600,A,23600
VNR,13100,19600,21350,22400,B,21350
TLD,2400,5010,5840,6280,C,5010
APS,3830,10000,12500,14000,B,12500
TLG,22200,29800,31800,32950,A,32950
ART,1570,4400,5440,6020,B,5440
TLH,3680,7800,9120,9810,A,9810
BVS,11000,20000,22700,24200,B,22700
TMP,30400,38350,40550,41650,A,41650
EVS,5940,13550,16250,17700,A,17700
TMS,29800,46550,51200,53400,A,53400
HBS,1500,4280,5310,5880,B,5310
TMT,3140,6900,8120,8780,C,6900
TN1,9680,17200,19400,20600,A,20600
IVS,2500,5880,7130,7810,B,7130
TNA,6310,10100,11050,11550,B,11050
MBS,4920,12150,14800,16250,B,14800
TNC,4790,11650,14050,15300,A,15300
PSI,2200,5450,6690,7450,D,2200
TNH,15200,27350,30900,32750,A,32750
