Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
FTM   ,D              ,610            ,1166.2            ,1365.6            ,1476.0            ,610
KST   ,A              ,17400          ,22547.0           ,23897.81          ,24551.35          ,24550
FPT   ,A              ,52900          ,68687.4           ,72852.0           ,74842.2           ,74800
KTS   ,D              ,1930           ,5444.0            ,6823.17           ,7607.900000000001 ,1930
FRT   ,A              ,10700          ,18609.32          ,21028.98          ,22435.3           ,22450
KTT   ,Not enough data,680            ,1746.0            ,2143.0            ,2382.9500000000003,Not enough data
GAB   ,B              ,165200         ,177663.54         ,180742.52         ,182029.9          ,180700
KVC   ,C              ,1060           ,2342.63           ,2774.89           ,3017.0            ,2340
GAS   ,A              ,44800          ,61071.72          ,65058.3           ,67066.3           ,67100
L14   ,A              ,39600          ,57895.9           ,62959.8           ,65781.0           ,65800
GDT   ,A              ,32250          ,42894.79          ,45649.0           ,47111.450000000004,47100
L18   ,C              ,10100          ,15913.5           ,17702.0           ,18791.0           ,15900
GEX   ,C              ,9450           ,14408.85          ,15800.31          ,16513.85          ,14400
L35   ,D              ,1550           ,2433.13           ,2678.39           ,2807.0            ,1550
GIL   ,B              ,26800          ,40305.18          ,44043.9           ,45971.3           ,44050
L43   ,C              ,370            ,1112.6100000000001,1408.0            ,1575.0            ,1110
GEG   ,C              ,7290           ,10289.24          ,11236.0           ,11718.0           ,10300
L61   ,C              ,1230           ,2485.0            ,2885.0            ,3105.0            ,2480
GMC   ,C              ,6780           ,11788.87          ,13704.74          ,14740.45          ,11800
L62   ,C              ,2120           ,3121.0            ,3391.0            ,3530.0            ,3120
GMD   ,B              ,25300          ,34909.1           ,37558.12          ,38846.3           ,37550
GSP   ,A              ,6000           ,8725.0            ,9441.0            ,9839.0            ,9840
LAF   ,B              ,1360           ,3904.2200000000003,4903.0            ,5457.0            ,4900
GTA   ,C              ,5840           ,9307.53           ,10224.0           ,10735.0           ,9310
LAS   ,B              ,6560           ,10117.2           ,11221.0           ,11853.0           ,11200
GTN   ,A              ,7500           ,10912.36          ,11811.0           ,12318.0           ,12300
LBE   ,B              ,6290           ,10886.0           ,12241.44          ,12966.0           ,12250
HAG   ,D              ,2060           ,2889.0            ,3160.0            ,3307.0            ,2060
HAH   ,A              ,13750          ,27960.36          ,32491.32          ,34925.2           ,34950
HAI   ,B              ,830            ,1641.83           ,1906.49           ,2061.0            ,1910
HPX   ,C              ,13000          ,20052.38          ,22009.78          ,23034.0           ,20050
HID   ,A              ,1100           ,2383.5299999999997,2789.0            ,3015.65           ,3020
HAP   ,B              ,4740           ,7140.17           ,8016.53           ,8468.0            ,8020
HAR   ,B              ,1190           ,2147.0            ,2445.0            ,2618.25           ,2440
HAS   ,C              ,4190           ,6698.43           ,7348.29           ,7718.0            ,6700
HAX   ,A              ,7620           ,12150.0           ,13345.87          ,14101.0           ,14100
LCS   ,Not enough data,230            ,789.0             ,1017.0            ,1150.0            ,Not enough data
HBC   ,C              ,5880           ,9043.78           ,9882.0            ,10378.0           ,9040
LDP   ,C              ,3550           ,6500.0            ,7408.0            ,7893.0            ,6500
LHC   ,A              ,34650          ,50635.98          ,55692.08          ,58260.8           ,58300
HCD   ,B              ,1410           ,3133.0            ,3692.0            ,4005.4500000000003,3690
LIG   ,C              ,2650           ,4459.37           ,5050.11           ,5373.0            ,4460
HDC   ,B              ,30850          ,43783.0           ,47553.2           ,49457.0           ,47550
LM7   ,D              ,540            ,1413.0            ,1717.0            ,1888.0            ,540
HDG   ,B              ,24650          ,35333.6           ,38280.95          ,39721.25          ,38300
LUT   ,C              ,810            ,1557.72           ,1864.58           ,2047.3000000000002,1560
HHP   ,B              ,3350           ,5652.0            ,6322.0            ,6708.75           ,6320
MAC   ,C              ,1840           ,3235.44           ,3660.0            ,3882.0            ,3240
HHS   ,A              ,1840           ,2976.0            ,3380.0            ,3601.0            ,3600
MAS   ,C              ,12250          ,20548.56          ,23374.68          ,24883.9           ,20550
TCH   ,A              ,4280           ,7778.24           ,8834.0            ,9392.8            ,9390
MCC   ,B              ,5560           ,7475.0            ,7962.0            ,8210.0            ,7960
