Ticker,Group,BreakFeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
PLP,D,3150,6004.0,6914.0,7401.0,3150
PLX,A,28250,37774.0,39970.64,41144.4,41150
PME,A,45650,59723.05,63057.95,64775.75,64800
PMG,C,4380,7784.0,8829.0,9377.9,7780
PNC,C,3310,5105.0,5614.0,5876.0,5100
PNJ,A,53400,72253.4,76896.0,79391.6,79400
POM,C,4120,7584.37,8620.0,9217.85,7580
POW,B,5640,7899.02,8535.0,8880.0,8540
PPC,A,11050,15430.76,16475.76,17024.6,17000
TC6,C,5550,8755.68,9885.55,10454.55,8760
PSH,C,6150,9108.39,10052.0,10570.0,9110
TDN,C,5620,9297.02,10346.58,10977.3,9300
PTB,B,69100,88191.22,93556.6,95859.8,93600
TDT,D,3050,6121.0,7012.0,7492.2,3050
PTC,Not enough data,1850,3955.11,4705.0,5187.85,Not enough data
TET,A,17200,20576.11,21377.11,21778.0,21800
PTL,B,1200,2556.0,3020.0,3269.0,3020
TFC,D,2680,4647.87,5192.61,5488.0,2680
PVD,B,9790,14843.54,16263.83,17042.45,16250
THB,A,3820,6941.61,7810.61,8304.7,8300
PVT,A,10200,15179.78,16483.12,17280.3,17300
THD,A,136900,167304.49,180017.37,185352.0,185400
THS,A,8090,12932.28,14579.93,15502.3,15500
PXI,C,660,1345.16,1572.0,1694.0,1350
THT,B,5930,9612.8,10689.8,11295.0,10700
TIG,B,6350,9963.48,11020.0,11549.0,11000
PXS,C,1510,2949.0,3427.0,3687.0,2950
TJC,A,3470,6164.73,7085.1900000000005,7585.0,7580
QBS,B,930,1869.6100000000001,2154.83,2304.0,2150
TKC,D,1280,3045.58,3676.0,4053.9,1280
QCG,C,1760,3196.0,3640.0,3902.0,3200
TKU,B,6530,13232.89,15994.0,17536.15,16000
RAL,B,100300,139281.33,149213.0,155129.4,149200
TMB,A,6500,12018.52,13548.0,14381.6,14400
RDP,C,2770,4926.6,5723.9,6153.0,4930
TMC,B,4290,6417.98,6992.94,7292.0,6990
REE,A,39900,52472.76,55708.84,57441.7,57400
TMX,A,3430,5943.0,6700.0,7115.25,7120
RIC,C,4910,9470.8,10892.95,11733.0,9470
TNG,C,10400,16394.2,18440.8,19560.0,16400
ROS,C,1170,2176.0,2535.0,2733.0,2180
TPH,C,5810,7893.0,8396.0,8706.35,7890
S4A,C,17950,22309.5,23265.5,23742.0,22300
TPP,D,3480,6018.08,6701.0,7068.4,3480
SAB,A,84700,110188.6,116507.4,120028.0,120000
TSB,B,6490,8728.24,9293.72,9626.0,9290
SAM,C,5280,7878.42,8644.42,9028.0,7880
TST,C,1960,4191.0,4839.5599999999995,5189.6,4190
SAV,B,6720,12185.46,13878.19,14776.0,13900
TTC,A,6280,9492.4,10450.0,10929.0,10950
SBA,B,12550,14950.99,15494.99,15807.0,15500
TTH,B,990,2105.36,2461.0,2666.0,2460
SBT,B,5460,9772.99,11039.97,11772.0,11050
TTT,A,16800,25068.2,27960.25,29518.5,29500
SBV,C,6720,9388.0,10241.0,10670.0,9390
SC5,C,7940,13207.94,14626.52,15385.0,13200
TTZ,B,1050,1864.2,2176.0,2354.0,2180
SCD,B,7500,11334.39,12236.0,12714.0,12250
TV3,C,5900,9185.76,10135.0,10647.0,9190
TV4,A,8380,10964.85,11590.0,11913.0,11900
SCR,B,5000,7769.0,8517.55,8973.75,8520
TVC,A,6120,10106.0,11195.21,11752.0,11750
SCS,A,84800,103807.48,108395.22,110702.0,110700
TVD,C,5490,9140.08,10219.52,10812.6,9140
SFC,A,9320,14938.0,16370.0,17156.0,17150
TXM,B,730,1774.0,2154.0,2387.0,2150
SFG,B,6430,9200.77,10074.77,10535.95,10050
UNI,C,1290,3670.0,4562.0599999999995,5075.0,3670
SFI,A,27250,37443.0,40288.8,41627.5,41650
SGN,A,44000,53797.41,56192.47,57386.9,57400
V12,C,4540,7525.56,8345.84,8773.0,7530
SGR,B,4760,9307.99,10741.0,11515.0,10750
V21,C,1440,3474.34,4149.02,4538.4,3470
SGT,C,11150,17799.89,19803.89,21032.0,17800
SHA,C,3970,5541.0,6045.83,6314.1,5540
SHI,C,5820,9427.26,10476.13,10996.75,9430
SHP,C,12800,17598.760000000002,18724.32,19305.1,17600
SII,C,5500,9401.0,10427.11,10973.85,9400
SJD,A,12200,14969.98,15650.0,15989.9,16000
SJF,B,3010,5072.54,5623.54,5955.85,5620
SJS,B,31350,42304.6,45536.32,47385.0,45550
SKG,A,8610,12089.54,13004.66,13523.2,13500
SMA,C,1510,3175.19,3759.0,4132.950000000001,3180
SMB,A,27350,33621.0,35052.89,35890.15,35900
VBC,C,8520,13098.18,14663.0,15476.7,13100
VC1,C,4450,6945.34,7719.0,8111.0,6950
SMC,A,12300,21762.98,25345.76,27284.0,27300
