Ticker  ,0% at Risk,1% at Risk        ,3% at Risk        ,5% at Risk        ,Groupp         ,Breakeven Price
TYA     ,11734.0   ,14860.76          ,15621.0           ,16064.9           ,B              ,15600
UDC     ,2076.0    ,4014.96           ,4635.88           ,4968.0            ,D              ,2080
UIC     ,30466.0   ,41022.1           ,43616.65          ,45128.75          ,A              ,45150
VAF     ,2984.0    ,6220.04           ,7202.03           ,7751.0            ,A              ,7750
VCA     ,7182.0    ,10812.66          ,11762.64          ,12345.0           ,A              ,12350
VCF     ,128932.0  ,171643.07         ,183951.0          ,190320.7          ,A              ,190300
VCG     ,22224.0   ,29519.9           ,31157.14          ,32030.0           ,C              ,29500
VDP     ,16410.0   ,23033.95          ,25042.35          ,26082.75          ,C              ,23050
VFG     ,22598.0   ,33186.4           ,36047.8           ,37549.0           ,B              ,36050
VGC     ,19221.0   ,27146.54          ,29282.88          ,30476.8           ,B              ,29300
VHC     ,17906.0   ,30782.58          ,34545.32          ,36519.65          ,B              ,34550
VHM     ,33374.0   ,50179.38          ,54794.7           ,57183.9           ,A              ,57200
VIC     ,44088.0   ,61240.75          ,65779.17          ,68103.95          ,B              ,65800
VID     ,1984.0    ,4111.4            ,4857.0            ,5332.0            ,B              ,4860
VIP     ,4836.0    ,7380.68           ,8160.0            ,8586.6            ,A              ,8590
VIS     ,4641.0    ,8343.0            ,9485.8            ,10156.0           ,B              ,9490
VJC     ,80823.0   ,99680.08          ,104868.8          ,107304.6          ,C              ,99700
VMD     ,8174.0    ,15576.48          ,18072.0           ,19521.7           ,B              ,18050
VNE     ,5058.0    ,7287.0            ,7897.0            ,8207.5            ,C              ,7290
VNG     ,7203.0    ,9502.24           ,10091.0           ,10390.0           ,B              ,10100
VNL     ,7058.0    ,12737.92          ,14429.38          ,15385.0           ,A              ,15400
VNM     ,51607.0   ,64762.76          ,67921.0           ,69700.0           ,A              ,69700
VNS     ,4237.0    ,6409.05           ,6970.0            ,7270.0            ,B              ,6970
VOS     ,10125.0   ,14418.78          ,16512.88          ,17504.7           ,A              ,17500
VPD     ,11586.0   ,14153.23          ,14894.38          ,15276.0           ,C              ,14150
VPG     ,42074.0   ,52317.68          ,55490.52          ,56898.6           ,A              ,56900
VPH     ,1731.0    ,3190.0            ,3730.0            ,4022.0            ,B              ,3730
VPI     ,27206.0   ,33648.0           ,35484.2           ,36279.0           ,D              ,27200
VPS     ,2565.0    ,5627.0            ,6676.0            ,7230.6            ,B              ,6680
VRC     ,4593.0    ,8068.21           ,9347.21           ,10035.0           ,B              ,9350
VRE     ,14303.0   ,20138.78          ,21681.17          ,22475.0           ,A              ,22500
VSC     ,34757.0   ,47855.8           ,51174.5           ,53163.0           ,A              ,53200
VSH     ,17362.0   ,22846.72          ,24271.0           ,25035.65          ,C              ,22850
VSI     ,5029.0    ,9230.0            ,10674.119999999999,11476.4           ,C              ,9230
VTB     ,5373.0    ,7793.88           ,8381.0            ,8687.0            ,A              ,8690
VTO     ,6134.0    ,8673.88           ,9466.82           ,9840.4            ,B              ,9470
YBM     ,1719.0    ,3584.0            ,4192.0            ,4517.200000000001 ,C              ,3580
YEG     ,4589.0    ,7067.95           ,7850.77           ,8288.0            ,C              ,7070
BIC     ,15201.0   ,20872.65          ,22599.0           ,23436.75          ,A              ,23450
BMI     ,18457.0   ,27765.25          ,30205.0           ,31734.0           ,A              ,31750
BVH     ,21615.0   ,33963.0           ,37558.08          ,39604.2           ,A              ,39600
MIG     ,12741.0   ,18289.17          ,19831.11          ,20574.95          ,A              ,20550
PGI     ,15029.0   ,20170.22          ,21787.32          ,22676.2           ,A              ,22700
AGR     ,3683.0    ,6829.95           ,7970.17           ,8594.900000000001 ,B              ,7970
APG     ,3702.0    ,7051.0            ,8101.0            ,8719.0            ,B              ,8100
BSI     ,5672.0    ,12324.0           ,14599.0           ,15839.150000000001,B              ,14600
CTS     ,10218.0   ,16858.08          ,18525.98          ,19586.8           ,A              ,19600
FTS     ,15359.0   ,27072.68          ,30837.0           ,33164.7           ,B              ,30850
HCM     ,13255.0   ,21295.7           ,23495.0           ,24864.5           ,A              ,24850
SSI     ,13563.0   ,22248.45          ,24725.34          ,26196.9           ,A              ,26200
TVB     ,4233.0    ,8415.65           ,9971.65           ,10869.75          ,A              ,10850
TVS     ,17940.0   ,24597.0           ,26355.559999999998,27438.2           ,A              ,27450
VCI     ,12067.0   ,25188.0           ,29410.8           ,31936.75          ,A              ,31950
VDS     ,6696.0    ,12737.0           ,14766.0           ,16036.0           ,B              ,14750
VIX     ,4747.0    ,9362.44           ,10818.66          ,11664.1           ,B              ,10800
VND     ,10253.0   ,21329.88          ,25028.58          ,27031.9           ,A              ,27050
