Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
GIL,28849.0,44000.04,48251.12,50586.85,A,50600
LCS,1100.0,2314.66,2703.49,2917.0,D,1100
GMC,5917.0,10736.0,12521.06,13498.55,B,12500
LDP,3730.0,6546.5,7400.25,7844.0,C,6550
GMD,25287.0,34865.0,37530.72,38846.6,B,37550
LHC,38436.0,56455.74,62258.54,65075.3,A,65100
GSP,6724.0,9935.95,10756.85,11247.0,B,10750
GTA,7751.0,12424.06,13686.03,14373.05,B,13700
LIG,5274.0,9028.9,10185.0,10774.0,C,9030
GTN,8322.0,12140.0,13136.0,13719.0,A,13700
LM7,721.0,1865.26,2247.0,2469.0,D,720
LUT,1226.0,2865.0,3407.0,3719.5,Not enough data,1230
GVR,7096.0,15198.98,17926.88,19368.9,A,19350
MAC,2220.0,3901.0,4401.28,4671.0,C,3900
HAG,2450.0,3423.0,3746.0,3916.0,B,3750
MAS,10105.0,19517.0,22308.89,23727.15,C,19500
MBG,1441.0,3760.0,4635.36,5125.0,A,5120
HAH,32575.0,45752.5,49139.5,51268.0,A,51300
MCC,5981.0,7827.88,8295.0,8533.0,B,8300
HAI,1171.0,2294.75,2672.25,2894.0,B,2670
MCF,1450.0,3535.14,4302.0,4709.0,B,4300
HAP,5421.0,7966.0,9000.0,9508.0,B,9000
MCO,2134.0,3513.44,4039.3199999999997,4367.0,C,3510
HAR,2109.0,4031.29,4670.0,5075.450000000001,B,4670
MDC,1492.0,3517.95,4398.85,4915.0,C,3520
HAS,4660.0,7373.1,8107.1,8486.0,B,8110
MED,9867.0,17919.0,20026.63,21168.05,C,17900
MEL,6810.0,11142.36,12353.76,13098.6,B,12350
HAX,8190.0,13210.78,14569.68,15380.35,A,15400
MHL,586.0,1583.3,1984.0,2252.0,D,590
HBC,4684.0,9045.95,10446.85,11195.0,C,9050
MIM,1625.0,3449.0,3991.0,4294.0,D,1620
HCD,2775.0,5315.4,6170.0,6708.0,B,6170
MKV,17026.0,21963.06,23255.02,23878.1,C,21950
HDC,47561.0,67015.64,71948.16,75103.6,B,71900
MST,7338.0,11151.44,12302.88,12897.6,C,11150
HDG,28598.0,41814.45,45289.0,47065.0,C,41800
MVB,2298.0,7013.0,8779.0,9809.4,Not enough data,2300
HHP,3647.0,6270.11,7202.66,7696.0,B,7200
NAG,4946.0,6939.65,7527.39,7789.0,C,6940
HHS,2104.0,3951.0,4548.0,4866.0,A,4870
NAP,2300.0,4868.0,5638.0,6042.0,A,6040
NBC,7487.0,11830.28,13312.72,14179.6,C,11850
HID,1990.0,3929.0,4559.0,4896.0,C,3930
NBP,6141.0,9837.56,10824.24,11450.0,A,11450
HII,8865.0,12438.19,13588.0,14183.0,B,13600
NBW,4277.0,9273.66,10796.0,11588.3,A,11600
HMC,15858.0,21272.12,22911.92,23790.6,A,23800
NDN,9221.0,13855.0,15049.0,15801.0,A,15800
HNG,2434.0,3943.37,4367.0,4592.0,D,2430
NDX,4307.0,6584.0,7259.78,7642.0,B,7260
HOT,8054.0,14584.14,17093.22,18479.0,B,17100
NET,29039.0,37407.68,40023.36,41365.8,A,41350
HPG,24457.0,35740.11,38717.14,40500.0,A,40500
NFC,6594.0,9752.42,10632.539999999999,11112.6,A,11100
HPX,11958.0,18652.08,20522.239999999998,21499.7,C,18650
NHC,10113.0,17015.63,18838.52,19806.0,A,19800
NRC,10796.0,17801.15,19884.35,21039.0,B,19900
HQC,1840.0,3010.12,3360.68,3547.8,C,3010
NSH,4469.0,7701.76,8912.76,9610.2,C,7700
HRC,4464.0,13508.0,16904.0,18807.0,C,13500
NST,2850.0,4775.36,5342.0,5639.0,B,5340
HSG,21065.0,30086.96,32777.72,34113.6,A,34100
NTH,15576.0,22677.03,24453.09,25403.0,A,25400
NTP,29142.0,39324.96,42019.4,43449.4,B,42000
HSL,1573.0,3383.0,3990.0,4312.200000000001,B,3990
HT1,11366.0,15627.9,16912.6,17523.0,B,16900
OCH,2509.0,4372.0,4957.0,5277.0,C,4370
HTI,10038.0,13470.81,14498.43,14973.05,B,14500
ONE,2949.0,4603.82,5057.46,5331.1,C,4600
HTL,7724.0,12470.23,13690.380000000001,14361.0,B,13700
PBP,2709.0,5384.45,6183.35,6639.0,B,6180
HTN,23673.0,37773.49,41592.05,43968.35,B,41600
PCE,10123.0,15570.37,17218.1,18205.85,A,18200
HTV,6826.0,10005.0,10801.27,11220.0,A,11200
PCG,874.0,2737.21,3443.63,3843.0,B,3440
HU1,4499.0,7050.7,7934.35,8420.0,B,7930
PCT,1279.0,2872.0,3451.0,3827.0,A,3830
HU3,3848.0,6071.62,6656.93,6962.55,C,6070
PDB,14463.0,20411.65,22561.15,23722.1,B,22550
HUB,10349.0,16298.82,17992.78,18865.3,A,18850
PDC,749.0,1884.0,2313.39,2577.0,D,750
PEN,3371.0,5250.0,5905.05,6194.0,C,5250
HVH,3861.0,6357.84,7034.0,7373.55,B,7030
PGN,6787.0,10469.28,11477.12,12082.0,B,11500
HVN,10980.0,15532.04,16803.48,17453.2,C,15550
PGS,11768.0,17613.55,19206.02,20105.85,C,17600
HVX,1579.0,3156.0,3673.6499999999996,3971.75,B,3670
IBC,15450.0,17861.69,18545.07,18886.0,Not enough data,15450
PGT,1257.0,2885.0,3571.77,3984.9500000000003,A,3980
ICT,9631.0,14351.42,15628.0,16284.0,C,14350
PHN,14401.0,22356.85,25282.3,26930.4,A,26950
IDI,2936.0,5160.0,5868.0,6309.0,B,5870
PHP,10926.0,17361.76,19146.94,20216.4,A,20200
IJC,12621.0,19290.92,21606.92,22718.6,B,21600
PIA,10366.0,15594.130000000001,17049.0,17799.0,A,17800
ILB,15803.0,22370.18,24404.18,25465.6,C,22350
PIC,3803.0,6280.25,6995.0,7374.0,A,7370
IMP,42717.0,55234.31,58287.09,60092.6,A,60100
PJC,6130.0,11240.66,12648.98,13383.0,B,12650
ITA,1939.0,3655.42,4198.0,4488.0,B,4200
