Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
HSG,9790,18150,20650,22000,A,22000
NET,30700,39900,42200,43400,A,43400
HSL,2260,4320,4960,5290,B,4960
NFC,4260,7050,7990,8460,A,8460
HT1,5970,10300,11700,12550,B,11700
NHC,10050,17300,19400,20450,A,20450
HTI,10150,13500,14300,14750,B,14300
HTL,4830,9420,10850,11650,B,10850
NRC,6130,10600,11900,12650,B,11900
HTN,8900,18150,21200,22850,B,21200
NSH,1870,4970,6110,6750,C,4970
HTV,6160,9040,9720,10050,A,10050
NST,3650,5360,5930,6240,B,5930
HU1,2690,5650,6620,7140,B,6620
NTH,17200,25200,27300,28450,A,28450
HU3,1890,3600,4140,4460,C,3600
NTP,31550,43000,46050,47700,B,46050
HUB,14400,20300,21900,22650,A,22650
NXT,1350,3740,4660,5210,Not enough data,1350
HVH,2580,4900,5620,6000,B,5620
OCH,4250,6990,7880,8380,C,6990
HVN,11050,15800,17100,17750,C,15800
ONE,3780,5870,6430,6780,C,5870
HVX,1720,3180,3620,3870,B,3620
PBP,3380,9720,12200,13550,B,12200
IBC,13650,16100,16700,16950,Not enough data,13650
PCE,11200,17200,19300,20350,A,20350
ICT,8240,11950,12950,13450,C,11950
PCG,800,2640,3340,3770,B,3340
IDI,4160,7490,8560,9190,B,8560
PCT,3320,5470,6060,6410,A,6410
IJC,9440,15100,16750,17750,B,16750
PDB,3590,7790,9220,10000,B,9220
ILB,15700,21800,23400,24250,C,21800
PDC,2220,5190,6490,7250,D,2220
IMP,45400,57100,60400,62000,A,62000
PEN,3020,4880,5480,5800,C,4880
ITA,3280,6680,7770,8350,B,7770
PGN,5550,8210,8940,9320,B,8940
ITC,5920,9650,10700,11300,Not enough data,5920
PGS,11000,16700,18200,19050,C,16700
ITD,3350,6490,7470,7990,C,6490
PGT,1440,3070,3750,4140,A,4140
JVC,1790,3860,4550,4920,Not enough data,1790
PHN,3960,10300,12750,14250,A,14250
KBC,12250,23500,27100,29050,B,27100
PHP,10050,16350,18100,19150,A,19150
KDC,38900,44900,46300,47000,B,46300
PIA,9880,15500,17050,17850,A,17850
KDH,27300,37950,40600,42000,A,42000
PIC,4190,6860,7560,7940,A,7940
KHG,4540,8580,9830,10500,A,10500
PJC,8090,13150,14600,15350,B,14600
KHP,5150,8120,9180,9750,C,8120
PLC,15700,25900,28800,30400,B,28800
KMR,1500,3260,3850,4160,B,3850
PMB,7100,11450,13050,13800,A,13800
KOS,26850,29950,30750,31100,B,30750
PMC,32900,44700,47700,49250,A,49250
KPF,6230,9220,10150,10650,B,10150
PMP,9320,16950,19000,20450,C,16950
KSB,16100,25850,28650,30100,B,28650
PMS,2400,6640,8290,9230,A,9230
L10,3940,9490,11400,12450,C,9490
POT,6840,10950,12150,12750,D,6840
LAF,2810,6990,8530,9370,B,8530
PPE,740,2350,3010,3420,A,3420
LBM,40150,60300,65500,68400,A,68400
PPP,5960,9720,10800,11400,A,11400
LCG,3480,7440,8740,9440,C,7440
PPS,6720,9000,9560,9900,B,9560
LCM,1670,3150,3640,3900,C,3150
PPY,5220,8270,9360,9940,A,9940
PRC,7540,10550,11300,11700,C,10550
LDG,2880,6950,8450,9240,B,8450
PSC,4950,8130,9050,9540,C,8130
LEC,2020,4660,5570,6070,C,4660
PSD,17050,25700,28200,29500,A,29500
LGC,8100,16450,19350,21200,C,16450
PSE,7100,11850,13300,14050,A,14050
LGL,1950,4190,4920,5320,C,4190
PSW,2150,5890,7290,8070,A,8070
LHG,23400,33700,36300,37850,A,37850
PTD,5790,8500,9240,9620,B,9240
LIX,33000,39450,40950,41750,B,40950
PTS,6260,9370,10200,10700,C,9370
LM8,2920,6130,7110,7660,C,6130
PV2,750,2080,2580,2860,B,2580
LSS,2680,5590,6540,7050,B,6540
PVB,9230,13950,15300,16050,C,13950
MCG,2970,5300,5920,6310,C,5300
PVC,4130,8700,10450,11450,C,8700
MCP,10400,16850,18550,19400,B,18550
PVG,5580,9040,9960,10550,B,9960
MDG,2310,5360,6410,6980,C,5360
PVL,2710,5850,6890,7530,B,6890
MHC,2300,4870,5710,6160,A,6160
PVS,12250,20000,22250,23500,B,22250
MSH,46400,58900,62600,64500,A,64500
QHD,2490,9010,11850,13500,A,13500
MSN,44900,77900,88100,93500,B,88100
